snp_relative_pos,mean_base_A_pred_peak,mean_base_T_pred_peak,mean_base_C_pred_peak,mean_base_G_pred_peak
175,-0.20665653011177954,0.0,-0.33727613021354413,0.0995143571052622
176,-0.8698560880261986,0.24543556927447033,0.0,-0.47036327682295864
177,0.0,0.008610435277796513,0.09637551316731996,-0.4775211473150399
178,-0.6423042898904179,0.0,0.46569746371367443,-1.0212633115101801
179,-0.1534498320668868,0.0,0.03369365413390379,0.13490590961390683
180,0.10983711511593648,0.0,0.34488853962364,-0.06721095016048277
181,0.0,0.359740274377078,0.13689226713983937,-0.2771264781662138
182,0.11951197030968427,0.45012709989352906,0.08292343303425888,0.0
183,-0.18030892306168605,-0.3836272533496306,0.0,0.10697168767790102
184,0.0,-0.1935634128047554,-0.18491549676674057,-0.31289334068088226
185,0.0,-0.04689556901013098,0.03350198857882586,-0.3878775194155423
186,0.0,0.05778774099196936,0.029230735144890472,-0.1119660766352519
187,0.059512267255771155,0.12878208969986205,0.7079433679666962,0.0
188,-0.2022462576007801,-0.2927365224216204,0.0,-0.3806261956464323
189,0.48353724227101086,0.0,0.6746753143107578,-0.36297924725878994
190,-0.23502156209424124,0.0,-0.20435059515626228,-0.11172519101783725
191,0.10655864653188711,0.0,0.4907318299825703,0.15767060571969202
192,0.0,0.06449598292640489,0.3217710008316417,-0.20413379553975497
193,0.44693740921499614,0.0,0.04034284415423775,-0.18943759556772555
194,-0.14087546589277802,0.0,-0.42313278967920614,0.14606418485255332
195,-0.07809617096835607,-0.15751487512083126,0.23651261794369846,0.0
196,0.0,-0.14227098753986323,0.05457724471245747,-0.5208186873764339
197,0.0,-0.23454745354809406,0.09355344680990432,-0.22281818464706812
198,-0.05313396211345444,0.0,0.6790754902197901,-0.4123941930955326
199,-0.12766583756372663,-0.28452323562767834,0.0,-0.10010146110256703
200,0.08203213084012811,0.0,-0.08630240152984374,-0.7148897052135473
201,0.47009299116373304,0.5370042900172675,0.7359323276140126,0.0
202,0.9415328320960619,0.036479160976642756,0.0,0.1278378607195292
203,0.8106643283304981,0.0,-0.5357796908212881,-0.4702959558671761
204,0.5420427048079195,1.0053032599646325,0.10183841119507883,0.0
205,0.7539322178214921,-0.2351232595475303,-0.730694456349412,0.0
206,0.7594535267961463,0.20430324518588355,0.2986826864620487,0.0
207,-0.19305113545289324,0.1077125243077288,0.0,-0.3275925923921927
208,0.9224223892520554,-0.32543795442687357,0.0,0.14890780877698995
209,0.28647591697615027,-0.1130784329927985,0.0,-0.9751737961824327
210,0.5935583967120199,-0.061716316526702814,0.0,0.30384653831774966
211,0.0,-0.4928094278914201,-0.11373034827003703,-0.7466617602751584
212,0.0,0.8208565900420888,0.4537915054805401,-0.2676962459155837
213,0.43968460598518033,-0.37235616826229634,0.4570662281440977,0.0
214,0.04072249787757078,0.5190301862004988,-0.6235355949103252,0.0
215,0.32997001587609204,0.3418903981780258,0.4273754135410652,0.0
216,0.0,-0.8163641648347782,-0.848160572504428,0.06252602472429357
217,0.0,-0.23290219942157694,-0.54656442908675,-0.7263404252837922
218,-0.6495133783883638,-0.4401134284063385,0.49202593115287085,0.0
219,0.6436436746138209,1.2245397552894688,0.898850855277662,0.0
220,1.06971222692069,-0.36976507560888827,0.0,-0.26482392431721435
221,0.0,-0.49624562967686914,0.33879516252838227,-0.15385321285199868
222,1.488978944837081,-0.7864168217627504,1.045547960091262,0.0
223,-0.29361539971717043,-0.16420631420067805,0.0,-0.5537423299636453
224,0.501248178111328,-0.7753458844357376,-0.7138461417449584,0.0
225,-0.2571787048798067,0.0,-0.42789417989117823,-1.0658665178832758
226,-0.12844991018237675,-0.9578557405316166,-0.533047512379073,0.0
227,0.0,-0.3612128600304355,-0.24059616669655776,-0.7155401433391991
228,-0.027008782800896945,0.008898048949352597,0.0,-0.045244797426071945
229,-0.5575219593466157,0.0,-0.3963587861418158,-1.5322420497181148
230,-0.04527646681319618,-0.4661626112091712,0.0,0.26379104146661375
231,0.0,-1.1130781558077185,-1.3224859190690368,-0.844803287273304
232,0.47995868243112244,-0.36037710631415903,0.6060328785973592,0.0
233,0.0,-1.081606478274505,0.03694707777764741,-1.6328674631896136
234,0.0,0.2155179671137081,0.17001628525594145,-0.078828292962871
235,-0.2942542845373979,0.04923724976487916,0.6195539244696423,0.0
236,0.7122279568296638,-1.176613970440462,0.0,-0.6884382912363521
237,0.0,-0.35888255972924815,-0.47162676950625065,-0.5187661960654153
238,0.5683556282854424,0.8501581895951955,-0.021008613328694987,0.0
239,0.28160208347865434,-0.04538788141027793,0.0,0.14581671221026463
240,-0.8248188111067194,-1.0647544754174822,0.0,-1.5305885916542312
241,-1.5304240843758132,-0.40176290827465216,0.0,-0.7201617326214256
242,0.9149117878782533,0.0,-1.4666490025073824,-0.25063785525206633
243,0.5685172894907132,0.0,0.2251816432081082,0.35593507304635674
244,0.4670271296796178,-0.2795330128493874,-0.05561373104846596,0.0
245,0.8302145068373977,0.0,-0.6589751871339692,-0.35591662780059347
246,0.6997066196721112,0.0,0.13312843999474988,0.4330227387272217
247,-0.4869886293977648,-1.014603821699714,0.0,-1.0372415382806401
248,0.5121181609552493,0.0,-0.38189345096691185,-0.9394967532030355
249,0.22922359732463668,-0.07738109385948205,0.0,-0.2861068736881691
250,1.3503547572240946,-0.5768461946560042,-1.0265466710419078,0.0
251,0.3932458147357419,0.7183032992665387,0.5571768302471125,0.0
252,0.5121793984610108,0.07758239382568625,-0.2432904437197799,0.0
253,0.0,-0.3949942442807073,-0.6048922125597626,-1.3262372552535557
254,0.0,-0.7998312881600492,-0.9844632826544887,-0.08238989666011866
